CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00263;315;206;1362;1539;302
CMHJGECF_00264;299;264;2469;3419;309
CMHJGECF_00265;69;60;429;489;68
CMHJGECF_00266;105;99;839;892;122
CMHJGECF_00267;148;127;898;1201;145
CMHJGECF_00268;3150;2121;18155;17302;2842
CMHJGECF_00269;1776;993;8257;8701;1386
CMHJGECF_00270;623;497;3467;3952;648
CMHJGECF_00271;64;47;1121;1364;62
CMHJGECF_00272;273;284;1862;2201;319
CMHJGECF_00273;214;217;1711;1649;197
CMHJGECF_00274;160;144;1268;1600;161
CMHJGECF_00275;214;162;1438;1475;199
CMHJGECF_00276;85;99;794;893;94
CMHJGECF_00277;673;475;5576;5674;612
CMHJGECF_00278;284;149;2312;1676;218
CMHJGECF_00279;44;45;543;545;53
CMHJGECF_00280;204;152;1637;1886;174
CMHJGECF_00281;197;158;1733;1998;196
CMHJGECF_00282;574;353;3480;3622;462
CMHJGECF_00283;98;49;542;617;84
CMHJGECF_00284;495;392;5761;5029;514
CMHJGECF_00285;253;186;2303;2399;295
CMHJGECF_00286;516;399;4379;4729;479
CMHJGECF_00287;104;91;1168;1507;129
CMHJGECF_00288;157;162;1330;1416;174
CMHJGECF_00289;1462;1426;7908;10517;1573
CMHJGECF_00290;252;196;3009;3981;253
CMHJGECF_00291;1118;688;6388;6186;977
CMHJGECF_00292;309;257;1935;1815;316
CMHJGECF_00293;314;238;2402;2918;351
CMHJGECF_00294;258;204;1646;1734;245
CMHJGECF_00295;563;361;3388;3464;519
CMHJGECF_00296;571;444;3769;3988;565
CMHJGECF_00297;455;295;3671;4100;423
CMHJGECF_00298;104;87;889;1203;97
CMHJGECF_00299;191;121;1690;1236;150
CMHJGECF_00300;145;85;812;949;98
CMHJGECF_00301;254;172;1730;2082;213
CMHJGECF_00302;7;17;789;841;14
CMHJGECF_00303;14;19;706;663;23
CMHJGECF_00304;7;9;492;507;8
CMHJGECF_00305;9;10;438;441;13
CMHJGECF_00306;27;26;1050;1156;46
CMHJGECF_00307;2;7;287;339;6
CMHJGECF_00308;45;40;2259;2319;58
CMHJGECF_00309;71;60;1480;1991;67
CMHJGECF_00310;22;21;609;716;27
CMHJGECF_00311;95;96;4215;4237;125
CMHJGECF_00312;158;147;3031;2917;169
CMHJGECF_00313;6;4;89;144;1
CMHJGECF_00314;37;27;761;834;28
CMHJGECF_00315;303;249;15018;15648;301
CMHJGECF_00316;85;74;3698;4011;82
CMHJGECF_00317;8;5;460;429;9
CMHJGECF_00318;6;6;289;393;4
CMHJGECF_00319;12;12;869;889;12
CMHJGECF_00320;50;55;2932;2877;53
CMHJGECF_00321;26;13;1514;1482;16
CMHJGECF_00322;31;23;1593;1482;30
CMHJGECF_00323;28;23;1356;1351;33
CMHJGECF_00324;7;14;1054;1101;25
CMHJGECF_00325;30;16;228;204;33
CMHJGECF_00326;421;344;5410;5446;308
CMHJGECF_00327;425;334;6220;4691;476
CMHJGECF_00328;390;283;1984;1793;332
CMHJGECF_00329;160;142;1297;1579;145
CMHJGECF_00330;100;91;587;630;94
CMHJGECF_00331;150;107;877;907;133
CMHJGECF_00332;106;49;771;807;67
CMHJGECF_00333;402;221;1955;1712;278
CMHJGECF_00334;116;62;741;838;102
CMHJGECF_00335;43;35;251;267;42
CMHJGECF_00336;160;105;943;929;115
CMHJGECF_00337;12;14;134;162;11
CMHJGECF_00338;49;43;271;322;49
CMHJGECF_00339;53;32;785;743;50
CMHJGECF_00340;46;29;1194;1588;50
